APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,lon,lat,Property on Map,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
6020021026,01/21/2020,Multi-Family,617 1/2 W 76TH ST,LOS ANGELES,CA,90044,8,Dbalt 2007-oa1,Douglas Randall,303-470-3633,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,-118.28478,33.97086,POINT (-118.28478 33.97086),23675,775,756,7,14,
5467022022,03/10/2020,Single Family,482 N CRANE BLVD,LOS ANGELES,CA,90065,1,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,OGIWA INCORPORATED,Olatunji Giwa,1028  N Lake AVE 208 PASADENA CA 91104,626-787-1471,-118.20613,34.10328,POINT (-118.20613 34.10328),24030,376,589,13,11,92
2676001020,01/14/2020,Single Family,9419 N MONOGRAM AVE,LOS ANGELES,CA,91343,12,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.49276,34.24155,POINT (-118.49276 34.24155),18914,118,395,,2,88
2580018255,01/22/2020,Single Family,13151 N MIRA MAR DR,LOS ANGELES,CA,91342,7,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.40547,34.31186,POINT (-118.40547 34.31186),18912,40,367,,1,47
2032019014,01/23/2020,Single Family,24620 W CALVERT ST,LOS ANGELES,CA,91367,3,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.66193,34.18319,POINT (-118.66193 34.18319),19347,308,1551,,4,49
2729024103,03/19/2020,Single Family,18528  MAYALL AVE,LOS ANGELES,CA,91326,12,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Cyprexx - Physical Address,Code Compliance,525   Grand Regency BLVD  Brandon FL 33510,813-387-5891,-118.5363,34.2531,POINT (-118.5363 34.2531),18513,81,299,,2,77
2180008023,01/14/2020,Single Family,4121 N VANALDEN AVE,LOS ANGELES,CA,91356,3,PHH Mortgage Corporation,Judy Credit,888-820-6474,The Herac Group,Elizabeth Acosta,11030   Arrow Route  102 RANCHO CUCAMONGA CA 91730,909-481-1100,-118.5564,34.14456,POINT (-118.5564 34.14456),19339,330,1257,,4,10
2420019031,01/02/2020,Single Family,10133 W SARAH ST,LOS ANGELES,CA,91602,4,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.35111,34.15409,POINT (-118.35111 34.15409),8489,214,459,,7,5
2106031009,01/24/2020,Single Family,19932 W CANTARA ST,LOS ANGELES,CA,91306,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.56776,34.21872,POINT (-118.56776 34.21872),4282,273,1463,,4,66
6017021023,02/12/2020,Single Family,2107 W 78TH ST,LOS ANGELES,CA,90047,8,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,The Herac Group,Elizabeth Acosta,11030   Arrow Route  102 RANCHO CUCAMONGA CA 91730,909-481-1100,-118.31583,33.96919,POINT (-118.31583 33.96919),23678,778,354,7,14,20
7460028011,01/14/2020,Single Family,1129 W 20TH ST,SAN PEDRO,CA,90731,15,PHH Mortgage Corporation,Judy Credit,888-820-6474,OGIWA INCORPORATED,Olatunji Giwa,1028  N Lake AVE 208 PASADENA CA 91104,626-787-1471,-118.30195,33.726,POINT (-118.30195 33.726),3342,982,1452,,15,33
2168007034,01/23/2020,Single Family,5255 N MEDINA ROAD,LOS ANGELES,CA,91364,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.59871,34.16484,POINT (-118.59871 34.16484),19346,312,1489,,4,49
5106011021,01/22/2020,Multi-Family,1601 E 46TH ST,LOS ANGELES,CA,90011,9,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.24542,34.00195,POINT (-118.24542 34.00195),22727,720,982,7,13,51
5216007004,01/22/2020,Multi-Family,2418 N EASTERN AVE,LOS ANGELES,CA,90032,14,JP Morgan Chase NA,Amy Lott,888-310-1506,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.18014,34.07387,POINT (-118.18014 34.07387),23449,505,1121,,9,91
2101019014,03/06/2020,Single Family,17900 W ROSCOE BLVD,LOS ANGELES,CA,91325,12,California Credit Union,Danny Pak,818-291-5415,Law Office of Les Zieve,Dawn Talavera,30   Corporate PARK 450 IRVINE CA 92606,714-580-8567,-118.52324,34.22075,POINT (-118.52324 34.22075),18514,253,428,,2,12
2616024019,01/07/2020,Single Family,13918 W VAUGHN ST,LOS ANGELES,CA,91331,7,Reverse Mortgage Solutions,Monique White,866-503-5559,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,800-639-2151,-118.43632,34.27094,POINT (-118.43632 34.27094),18907,23,378,,1,11
5422009040,01/31/2020,Vacant Residential,2247 W EARL CT,LOS ANGELES,CA,90039,13,"J L Financing, LLC",John Gregg,818-279-2000,J L Financing LLC,John Gregg,2804   Honolulu Ave  Verdugo City Ca 91046,818-279-2000,-118.25584,34.09564,POINT (-118.25584 34.09564),23670,394,1000,,8,90
5524015017,01/06/2020,Single Family,624 N ORANGE DR,LOS ANGELES,CA,90036,5,Fay Servicing LLC - Eric Moore,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.34146,34.08263,POINT (-118.34146 34.08263),23667,445,870,,6,86
5229028022,01/16/2020,Single Family,1023 N SENTINEL AVE,LOS ANGELES,CA,90063,14,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,The Herac Group,Elizabeth Acosta,11030   Arrow Route  102 RANCHO CUCAMONGA CA 91730,909-481-1100,-118.19499,34.05002,POINT (-118.19499 34.05002),24028,509,1216,,9,38
5023022010,01/03/2020,Single Family,4183 S 4TH AVE,LOS ANGELES,CA,90008,10,"Center FSB,",Tina Santos,866-563-1100,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.32151,34.0081,POINT (-118.32151 34.0081),22725,747,1019,7,12,54
5569013043,01/10/2020,Single Family,2144 N HERCULES DR,LOS ANGELES,CA,90046,4,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.36387,34.1089,POINT (-118.36387 34.1089),23677,457,625,,7,82
6023025005,01/27/2020,Multi-Family,7708 S AVALON BLVD,LOS ANGELES,CA,90003,9,Specialized Loan Servicing LLC on behalf of beneficiary,Douglas Randall,720-563-8186,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.26497,33.96902,POINT (-118.26497 33.96902),22350,791,999,7,13,46
5063007085,01/21/2020,Single Family,2329 S HAUSER AVE,LOS ANGELES,CA,90016,10,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.36175,34.03545,POINT (-118.36175 34.03545),23077,653,1123,,12,69
6037026049,01/21/2020,Single Family,8921 S HOBART BLVD,LOS ANGELES,CA,90047,8,Specialized Loan Servicing LLC on behalf of beneficiary,Douglas Randall,720-563-8186,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,-118.30802,33.95564,POINT (-118.30802 33.95564),23678,784,1167,7,14,20
5137027022,03/11/2020,Multi-Family,1657 W 12TH PL,LOS ANGELES,CA,90015,1,PennyMac Loan Services,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.27816,34.04633,POINT (-118.27816 34.04633),23076,575,908,,11,8
5101010027,01/13/2020,Multi-Family,332 E 55TH ST,LOS ANGELES,CA,90011,9,Celink,Debbie Williams,866-654-0020,Keller Williams Dba Desert Holdings,Marty Azoulay,16820   Ventura BLVD  Encino CA 91436,818-822-2422,-118.2689,33.99234,POINT (-118.2689 33.99234),22727,725,895,7,13,
4012021010,01/07/2020,Multi-Family,3435 W 77TH ST,LOS ANGELES,CA,90043,8,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.33211,33.97008,POINT (-118.33211 33.97008),23674,759,1071,7,14,24
2308019007,01/06/2020,Single Family,12400 W ROSCOE BLVD,LOS ANGELES,CA,91352,2,Mr. Cooper,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.4034,34.22149,POINT (-118.4034 34.22149),8888,152,1101,,5,14
6003016029,02/24/2020,Multi-Family,1235 W 60TH PL,LOS ANGELES,CA,90044,9,M&T Bank - Jefferson Office,Eric Moore,877-338-3791,Safeguard,Code Compliance,7887   Safeguard Cir  Valley View OH 44125,800-852-8306,-118.29696,33.98513,POINT (-118.29696 33.98513),23675,768,1157,7,13,2
2160018156,01/06/2020,Single Family,5477 N NESTLE AVE,LOS ANGELES,CA,91356,3,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Cyprexx - Physical Address,Code Compliance,525   Grand Regency BLVD  Brandon FL 33510,813-387-5891,-118.5299,34.1703,POINT (-118.5299 34.1703),19339,322,587,,4,10
5084032026,03/02/2020,Multi-Family,1208 S COCHRAN AVE,LOS ANGELES,CA,90019,10,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Cyprexx - Physical Address,Code Compliance,525   Grand Regency BLVD  Brandon FL 33510,813-387-5891,-118.35052,34.05326,POINT (-118.35052 34.05326),23080,637,1507,,12,23
5124013015,01/08/2020,Multi-Family,917 W 23RD ST,LOS ANGELES,CA,90007,1,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Aaron Trevethan,27071   Cabot RD 119 LAGUNA HILLS CA 92653,949-612-0342,-118.28019,34.03364,POINT (-118.28019 34.03364),22724,698,444,7,11,32
2532017029,01/23/2020,Single Family,12124 W TERRA BELLA ST,LOS ANGELES,CA,91331,7,"GUERRERO,ARTURO C/O RUSHMORE LOAN MANAGEMENT SERVICES",PROPERTY PRESERVATION,949-341-5601,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.39759,34.27326,POINT (-118.39759 34.27326),18912,18,248,,1,11
5119006016,01/07/2020,Multi-Family,1374 E 22ND ST,LOS ANGELES,CA,90011,9,Loancare,nosha Trotman,714-848-7920,"Incorp Services, Inc",Registrations Department,5716   Corsa Ave Suite 110   Westlake Village CA 91362,888-727-6303,-118.25102,34.02033,POINT (-118.25102 34.02033),22727,707,969,7,13,6
2510004029,01/23/2020,Single Family,13577 W DYER ST,LOS ANGELES,CA,91342,7,LAKEVIEW LOAN SERVICING,Bruni Velazquez,757-955-8014,"Incorp Services, Inc",Registrations Department,5716   Corsa Ave Suite 110   Westlake Village CA 91362,888-727-6303,-118.42933,34.31728,POINT (-118.42933 34.31728),18912,38,289,,1,47
2146026093,01/06/2020,Single Family,21801 W BURBANK BLVD,LOS ANGELES,CA,91367,3,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.60263,34.17311,POINT (-118.60263 34.17311),19347,304,1274,2,4,49
2644026200,01/07/2020,Single Family,14415 W PLUMMER ST,LOS ANGELES,CA,91402,6,JORGE E ANDRADE RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.44685,34.24288,POINT (-118.44685 34.24288),19730,132,958,,3,59
2104005020,01/21/2020,Single Family,19045 W ARMINTA ST,LOS ANGELES,CA,91335,3,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.54855,34.21393,POINT (-118.54855 34.21393),18909,255,1546,,4,12
2644007027,01/13/2020,Single Family,14126 W PIERCE ST,LOS ANGELES,CA,91331,6,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.44106,34.24683,POINT (-118.44106 34.24683),18907,130,1127,,3,41
2697003016,01/10/2020,Single Family,17260 W SIMONDS ST,LOS ANGELES,CA,91344,12,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.50986,34.27626,POINT (-118.50986 34.27626),19329,78,1414,,2,79
2648013028,01/06/2020,Single Family,14669 W MINNEHAHA ST,LOS ANGELES,CA,91345,7,Fay Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.45247,34.26014,POINT (-118.45247 34.26014),19330,72,303,,1,4
5110025010,01/02/2020,Multi-Family,127  52ND ST,LOS ANGELES,CA,90037,9,Cenlar FSB,Athena Santos,609-883-3900,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.27505,33.99568,POINT (-118.27505 33.99568),23668,737,988,7,13,
5185032025,01/17/2020,Multi-Family,712 S MOTT ST,LOS ANGELES,CA,90023,14,Bayview Loan Servicing Jefferson,Eric Moore,877-338-3791,MCS - Bayview,Ingrid Lopez,12901  SW 132nd AVE  miami FL 33186,786-871-0849,-118.21134,34.03411,POINT (-118.21134 34.03411),23441,524,351,,9,38
2114020008,01/30/2020,Single Family,20253 W KESWICK ST,LOS ANGELES,CA,91306,3,CENLAR MORTGAGE FSB,PATRICIA BRACEY,609-883-3900,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.57471,34.20965,POINT (-118.57471 34.20965),4282,275,1544,,4,66
5486021025,01/07/2020,Single Family,376 N KIRBY ST,LOS ANGELES,CA,90042,14,Fay Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.1832,34.12202,POINT (-118.1832 34.12202),23673,359,575,,9,93
2102020015,01/24/2020,Single Family,7743 N WYNNE AVE,LOS ANGELES,CA,91335,12,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.53019,34.21139,POINT (-118.53019 34.21139),18909,254,283,,2,12
2787029004,01/14/2020,Single Family,17646 W RAYMER ST,LOS ANGELES,CA,91325,12,Trinity Financial Services,Don Madden,949-313-6161,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.51919,34.2265,POINT (-118.51919 34.2265),18514,111,1425,,2,65
5002028030,01/06/2020,Single Family,1158 W 52ND ST,LOS ANGELES,CA,90037,9,M&T Bank - Jefferson Office,Eric Moore,877-338-3791,Safeguard,Code Compliance,7887   Safeguard Cir  Valley View OH 44125,800-852-8306,-118.29565,33.99496,POINT (-118.29565 33.99496),23668,744,1155,7,13,2
5051031005,01/21/2020,Single Family,3014 S NORTON AVE,LOS ANGELES,CA,90018,10,Citigroup Mortgage Loan Trust Inc,Doug Randall,303-470-3633,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,-118.3326,34.02708,POINT (-118.3326 34.02708),23079,662,920,7,12,19
5686006016,01/01/2020,Multi-Family,5052 N SHEARIN AVE,LOS ANGELES,CA,90041,14,Alex Mehdiani,Alex Mehdiani,818-252-8552,NULL,NULL,,NULL,-118.21039,34.13783,POINT (-118.21039 34.13783),23672,356,401,,9,60
5014019016,01/07/2020,Single Family,4715 S 5TH AVE,LOS ANGELES,CA,90043,8,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,-118.32264,34.00044,POINT (-118.32264 34.00044),23674,751,1042,7,14,24
2204019007,01/16/2020,Single Family,7849 N GENESTA AVE,LOS ANGELES,CA,91406,6,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Aaron Trevethan,27071   Cabot RD 119 LAGUNA HILLS CA 92653,949-612-0342,-118.50417,34.21351,POINT (-118.50417 34.21351),19734,251,432,,3,61
4001029016,01/24/2020,Single Family,6242 S MORLEY AVE,LOS ANGELES,CA,90056,11,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,The Herac Group,Elizabeth Acosta,11030   Arrow Route  102 RANCHO CUCAMONGA CA 91730,909-481-1100,-118.36536,33.98274,POINT (-118.36536 33.98274),24351,926,758,10,10,16
6011012038,01/22/2020,Multi-Family,414 E 67TH ST,LOS ANGELES,CA,90003,9,JP Morgan Chase NA,Amy Lott,888-310-1506,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.26689,33.9787,POINT (-118.26689 33.9787),22352,789,996,7,13,46
7404032007,01/07/2020,Single Family,826 E OCEANSIDE ST,LOS ANGELES,CA,90744,15,"CALIBER HOME LOANS, INC.",Kandyce Hughes,214-874-4174,"Incorp Services, Inc",Registrations Department,5716   Corsa Ave Suite 110   Westlake Village CA 91362,888-727-6303,-118.26011,33.80393,POINT (-118.26011 33.80393),3350,952,1202,,15,15
2381020015,03/13/2020,Single Family,11232 W BRIARCLIFF LANE,LOS ANGELES,CA,91604,2,"Windermere Enterprises, LLC",Ronald Wilton,805-908-9277,NULL,NULL,,NULL,-118.3803,34.12622,POINT (-118.3803 34.12622),23677,352,711,11,5,84
7349024001,01/10/2020,Multi-Family,1570 W 214TH ST,TORRANCE,CA,90501,15,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.30625,33.83437,POINT (-118.30625 33.83437),25715,945,1145,,15,55
5013020028,01/22/2020,Single Family,4817 S 11TH AVE,LOS ANGELES,CA,90043,8,"Deutsche Bank National Trust Company, as Trustee",Douglas Randall,303-470-3633,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,-118.32952,33.99937,POINT (-118.32952 33.99937),23674,750,1045,7,14,24
2610028021,01/03/2020,Single Family,16401 W FLANDERS ST,LOS ANGELES,CA,91344,12,Statebridge,Bryce Fendall,720-697-6421,Rushmore Loan Management Services LLC,Customer Center,15480   Luguna Canyon RD  Irvine CA 92618,888-504-6700,-118.48928,34.28023,POINT (-118.48928 34.28023),19329,56,1403,,2,78
4378016008,01/10/2020,Single Family,2501 N ROSCOMARE RD,LOS ANGELES,CA,90077,5,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.46354,34.12243,POINT (-118.46354 34.12243),24037,829,782,,6,81
2543002001,01/08/2020,Single Family,10333 W LA CANADA WAY,LOS ANGELES,CA,91040,7,"CIT BANK, N.A.",Sarah Richardson,757-955-8014,"Incorp Services, Inc",Registrations Department,5716   Corsa Ave Suite 110   Westlake Village CA 91362,888-727-6303,-118.35547,34.25824,POINT (-118.35547 34.25824),3221,14,1510,8,1,9
2565019014,01/09/2020,Single Family,6940 W BECKETT ST,LOS ANGELES,CA,91042,7,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.2827,34.25278,POINT (-118.2827 34.25278),3222,4,538,,1,7
5443013006,01/30/2020,Multi-Family,1629 W LANDA ST,LOS ANGELES,CA,90026,13,Patricia McLoon,Patricia McLoon,949-387-2422,Patricia McLoon,Patricia McLoon,19800   MacArthur BLVD 1150 Irvine CA 92612,949-387-2422,-118.24799,34.09537,POINT (-118.24799 34.09537),23670,480,1428,,8,31
4324003063,01/17/2020,Single Family,10960 W ASHTON AVE 1-40,LOS ANGELES,CA,90024,5,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Aaron Trevethan,27071   Cabot RD 119 LAGUNA HILLS CA 92653,949-612-0342,-118.44531,34.05716,POINT (-118.44531 34.05716),23442,854,742,9,6,72
2338014025,02/05/2020,Multi-Family,11441  HATTERAS ST,LOS ANGELES,CA,91601,2,JP Mogan Chase,Kim Boney,904-462-6487,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.38041,34.17588,POINT (-118.38041 34.17588),8488,192,280,,5,13
2423011032,02/26/2020,Single Family,11122 W RIVERSIDE DR,LOS ANGELES,CA,91602,4,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.37303,34.15219,POINT (-118.37303 34.15219),8489,343,701,,7,5
5036009020,02/27/2020,Single Family,3867 S HOBART BLVD,LOS ANGELES,CA,90062,8,Mortgage Management Consultants,Property Department,847-550-7410,Los Angeles County Property Preservation,Eddie Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.30791,34.01538,POINT (-118.30791 34.01538),24027,730,1011,7,14,32
5082013013,01/30/2020,Multi-Family,4446 W VICTORIA PARK DR,LOS ANGELES,CA,90019,10,"JACOBS,DIANE R C/O RUSHMORE LOAN MANAGEMENT SERVICES",PROPERTY PRESERVATION,949-341-5601,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.33237,34.04694,POINT (-118.33237 34.04694),23080,648,1345,,12,69
