APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,Longitude,Latitude,Property on Map,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
5178006005,11/05/2019,Single Family,3211 E BLANCHARD ST,LOS ANGELES,CA,90063,14,"H&Z, LLC",Hillary Greene-Pae,818-321-1044,NULL,NULL,,NULL,-118.19289,34.04637,POINT (-118.19289 34.04637),24028,515,946,,9,38
5214021034,04/23/2019,Single Family,2344 N RICHELIEU AVE,LOS ANGELES,CA,90032,14,Mark Jakob,Mark Jakob,310-531-3789,NULL,NULL,,NULL,-118.18282,34.07235,POINT (-118.18282 34.07235000000001),23449,501,771,,9,91
5516001015,02/26/2019,Single Family,255 S LORRAINE BLVD,LOS ANGELES,CA,90004,4,Platinum Loan Servicing,Karen Larson,818-222-5222,NULL,NULL,,NULL,-118.31996,34.06972,POINT (-118.31996 34.06972),22721,587,348,,7,86
5550019090,01/18/2019,Single Family,1407 N FULLER AVE,HOLLYWOOD,CA,90046,4,NEW AMERICAN FUNDING,KARLA HOWES,949-445-8824,SO CAL INSPECTORS INC,SUZANNE PHILLIPS,9525   Stewart and Gray RD  Downey CA 90241,949-445-8824,-118.34969,34.09624,POINT (-118.34968999999998 34.09624),23677,410,1237,,7,82
5085009048,11/06/2019,Single Family,1002 S BURNSIDE AVE,LOS ANGELES,CA,90036,4,Citizens Business Bank,Tonya Anchondo,909-483-7293,NULL,NULL,,NULL,-118.35135,34.05706,POINT (-118.35134999999998 34.05706),23080,637,1346,,7,26
6041024010,09/23/2019,Single Family,315 E 90TH ST,LOS ANGELES,CA,90003,9,"Karzi Equities, Ltd.",Zabeh Karzi,310-666-8686,NULL,NULL,,NULL,-118.26897,33.9548,POINT (-118.26897 33.9548),22352,799,1173,7,13,45
7414026028,05/06/2019,Single Family,1119 W SANDISON ST,LOS ANGELES,CA,90744,15,Celink,Cory Daggett,866-654-0020,NULL,NULL,,NULL,-118.27712,33.79238,POINT (-118.27712000000001 33.79238),3350,955,1199,,15,15
4326008005,05/02/2019,Single Family,10568 W ASHTON AVE,LOS ANGELES,CA,90024,5,Celink,Daniel Stack,866-727-4303,Red A Ranch,Robert Buchanan,132  N Pine ST A San Gabriel CA 91775,626-287-4431,-118.43173,34.06143,POINT (-118.43173 34.06143),23442,857,496,9,6,72
2404008001,11/07/2019,Single Family,10820 W PENROSE ST,LOS ANGELES,CA,91352,7,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.36568,34.23216,POINT (-118.36568000000001 34.23216),19335,10,1512,8,1,9
2504021016,11/27/2019,Single Family,13855 W ASTORIA ST,LOS ANGELES,CA,91342,7,None,Manuel Solana,949-305-8901,C&H Trust Deed Service,Coby Halavais,1   1 Orchard Rd.  110 Lake Forest CA 92679,949-305-8901,-118.43514,34.31502,POINT (-118.43514 34.31502),18912,38,289,,1,47
2044012014,01/01/2019,Single Family,23501 W LADRILLO ST,LOS ANGELES,CA,91367,3,U.S. Bank N.A co select portfolio servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.63879,34.16694,POINT (-118.63879 34.16694),19347,303,1553,,4,49
4370015020,01/07/2019,Single Family,1516 N STONE CANYON RD,LOS ANGELES,CA,90077,5,"PLM LOAN MANAGEMENT SERVICES, INC.",Elizabeth Godbey,408-370-4030,Landmark Enterprise,Riley Bowers,1115   Searchlight Ranch RD  Acton CA 93510,661-674-7852,-118.4543,34.10125,POINT (-118.45430000000002 34.10125),24037,828,770,,6,81
7415003017,02/04/2019,Single Family,1123 W M ST,LOS ANGELES,CA,90744,15,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.27721,33.78871,POINT (-118.27721000000001 33.78871),3350,956,1201,,15,15
2360001030,01/22/2019,Single Family,13546 W SARAH ST,LOS ANGELES,CA,91423,4,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Steve Daggett,Steve Daggett,8011   Glencrest DR  Sun Valley CA 91352,818-577-6004,-118.42842,34.15386,POINT (-118.42842 34.15386),19736,331,1341,,7,83
2415015034,05/16/2019,Single Family,5805 N WHITNALL HWY,LOS ANGELES,CA,91601,2,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.36248,34.17605,POINT (-118.36248 34.17605),8488,199,1077,,5,13
2781031030,11/05/2019,Single Family,8836 N COMANCHE AVE,LOS ANGELES,CA,91306,3,"PEAK FORECLOSURE SERVICES, INC.",Kelli Espinoza,818-591-9237,PEAK FORECLOSURE SERVICES,KELLI ESPINOZA,5900   Canoga AVE 220 Woodland Hills CA 91367,818-591-9237,-118.57204,34.23115,POINT (-118.57204 34.23115),4282,102,935,,4,66
5551024014,01/24/2019,Single Family,1438 N OGDEN DR,HOLLYWOOD,CA,90046,4,Cenlar FSB,Athena Santos,609-883-3900,J & J Board Ups,Javier Ortiz,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.35913,34.09731,POINT (-118.35913 34.09731),23677,409,800,,7,82
5051027016,01/09/2019,Single Family,2907 S NORTON AVE,LOS ANGELES,CA,90018,10,"U.S. Bank N.A., c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.3329,34.02922,POINT (-118.33290000000001 34.02922),23079,662,920,7,12,19
2604022016,07/03/2019,Single Family,15157 W REX ST,LOS ANGELES,CA,91342,7,Loancare,Sarah Richardson,757-452-5138,"Incorp Services, Inc",Registrations Department,5716   Corsa Ave Suite 110   Westlake Village CA 91362,888-727-6303,-118.4633,34.30113,POINT (-118.4633 34.30113),18912,51,642,,1,47
2779006047,06/08/2019,Single Family,8341 N DE SOTO AVE,LOS ANGELES,CA,91304,3,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,"Cyprexx Services, LLC",Code Compliance,41951   Remington AVE 150 Temecula CA 92590,877-339-8202,-118.58871,34.22126,POINT (-118.58871000000002 34.22126),4279,94,1457,,4,37
6051004010,06/06/2019,Single Family,10335 S MCKINLEY AVE,LOS ANGELES,CA,90002,8,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.26095,33.94221,POINT (-118.26095 33.94221),22351,806,360,7,14,45
2653011001,07/07/2019,Single Family,8544 N NOBLE AVE,LOS ANGELES,CA,91343,6,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.461,34.22599,POINT (-118.461 34.22599),18914,127,452,,3,73
5101029022,10/18/2019,Multi-Family,220 1/2 W 55TH ST,LOS ANGELES,CA,90037,9,U.S. Bank N.A.,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.27701,33.99229,POINT (-118.27701 33.99229),23668,746,988,7,13,
4006001014,06/20/2019,Single Family,6023 S 8TH AVE,LOS ANGELES,CA,90043,8,Penny Mac Loan Service,Jennifer Gordon,818-878-8411,Safeguard Properties - Pennymac,David Mazanek,7887   Safeguard Cir  Valley View OH 44125,800-852-8306,-118.32665,33.9847,POINT (-118.32665 33.9847),23674,755,1506,7,14,24
2651005016,07/25/2019,Single Family,14800 W CALAHAN ST,LOS ANGELES,CA,91402,6,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.45556,34.23626,POINT (-118.45556 34.23626),19730,133,407,,3,59
2673003044,02/28/2019,Single Family,8545 N GLORIA AVE,LOS ANGELES,CA,91343,12,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.48095,34.226,POINT (-118.48094999999999 34.226),18914,121,426,,2,88
2747024040,09/20/2019,Single Family,10125  DE SOTO,LOS ANGELES,CA,91311,12,Quicken Loan Servicing,Eric Moore,877-338-3791,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.58875,34.25448,POINT (-118.58874999999999 34.25448),4284,99,233,,2,43
2345003033,01/11/2019,Multi-Family,13246 W CUMPSTON ST,LOS ANGELES,CA,91401,4,CitiMortgage,Erin Theobald,877-290-3997,Pinelands Preservation,Will Wheelehan,44501   Auburn BLVD  Sacramento CA 95841,916-277-8243,-118.42137,34.16952,POINT (-118.42137000000001 34.16952),19729,201,515,,7,83
5451023017,10/17/2019,Vacant Residential,469 W DEL NORTE ST,LOS ANGELES,CA,90065,1,Chih-Wen Yu,Chih-Wen Yu,949-387-1262,C&H Trust Deed Service,Coby Halavais,1   1 Orchard Rd.  110 Lake Forest CA 92679,949-305-8901,-118.21545,34.0924,POINT (-118.21545 34.0924),24030,377,482,13,11,92
2748033034,02/14/2019,Single Family,20270 W LABRADOR ST,LOS ANGELES,CA,91311,12,Champion Mortgage,Jennifer Hathaway,972-894-2950,NULL,NULL,,NULL,-118.57506,34.24902,POINT (-118.57505999999998 34.24902),4284,98,314,,2,43
4412027008,08/06/2019,Single Family,15230 W EARLHAM ST,LOS ANGELES,CA,90272,11,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.52627,34.03677,POINT (-118.52627 34.03677),25066,838,1386,,10,
2264014008,02/08/2019,Single Family,4736 N NORWICH AVE,LOS ANGELES,CA,91403,4,U.S. Bank/RMAC/2016-CTT,Rushmore Loan Management,310-777-6375,"The Harvey Group, Inc.",Joyce Essex Harvey,301  N Canon DR E Beverly HIlls CA 90210,310-777-6375,-118.46054,34.15668,POINT (-118.46054000000001 34.15668),19732,335,883,,7,83
5143012021,07/26/2019,Multi-Family,726 S COLUMBIA AVE,LOS ANGELES,CA,90017,1,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.26888,34.05192,POINT (-118.26888 34.05192),23078,568,1378,,11,68
2706032018,05/01/2019,Single Family,21217 W TULSA ST,LOS ANGELES,CA,91311,12,PennyMac Loan Services,Property Preservation,866-695-4122,Safeguard c/o Bron Inc Jefferson,Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,800-852-8306,-118.59516,34.26766,POINT (-118.59515999999999 34.26766),4284,88,228,,2,43
2045009029,01/15/2019,Single Family,6115 N DILL PL,LOS ANGELES,CA,91367,3,"SETERUS, INC",Property Preservation,877-735-3637,SO CAL INSPECTORS INC,Suzanne Phillips,9525   Stewart and Gray RD  Downey CA 90241,760-591-9244,-118.64717,34.18122,POINT (-118.64717 34.18122),19347,308,1481,,4,49
5492030015,01/17/2019,Single Family,6332 S ARROYO GLEN ST,LOS ANGELES,CA,90042,14,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,-118.18366,34.11226,POINT (-118.18366 34.11226),23673,372,575,,9,93
5054018015,06/10/2019,Single Family,2320 S RAYMOND AVE,LOS ANGELES,CA,90007,8,Mr. Cooper,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.29741,34.03478,POINT (-118.29741000000001 34.03478),22724,680,907,7,14,32
2662001024,08/06/2019,Single Family,11425 N BLUCHER AVE,LOS ANGELES,CA,91344,12,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.47113,34.27791,POINT (-118.47113 34.27791),19329,68,385,,2,78
4256023027,01/03/2019,Single Family,2568 S MILITARY AVE,LOS ANGELES,CA,90064,5,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,-118.43053,34.03527,POINT (-118.43052999999999 34.03527),24029,888,1251,9,6,75
4236030017,12/23/2019,Single Family,1217 E ELM ST,LOS ANGELES,CA,90291,11,Mr. Cooper LLC,Paula Acosta,800-468-1743,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.44868,33.99245,POINT (-118.44868000000001 33.99245),25073,914,1394,10,10,30
4250006021,06/26/2019,Multi-Family,3203 S BARRINGTON AVE,LOS ANGELES,CA,90066,11,Rediger Investment Mortgage Fund,Daren Rediger,818-842-2312,Rediger Investment Corp.,Daren Rediger,500  E Olive AVE  Burbank CA 91501,818-842-2312,-118.43616,34.01922,POINT (-118.43615999999999 34.01922),24031,892,843,9,10,27
6067007032,01/15/2019,Single Family,10914 S ANZAC AVE,LOS ANGELES,CA,90059,15,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.23786,33.93667,POINT (-118.23786000000001 33.93667),24354,824,705,7,15,40
2627010006,01/15/2019,Single Family,13267 W RELIANCE ST,LOS ANGELES,CA,91331,6,Reverse Mortgage Solutions Inc.,Amy Sporn,832-616-5910,South Pacific Field Services LLC,Tamie Mason,31568   Railroad Canyon ROAD 100 Canyon Lake CA 92587,951-696-8100,-118.42155,34.2307,POINT (-118.42155000000001 34.230700000000006),18907,128,1072,,3,41
5186009019,06/10/2019,Single Family,446 S BERNAL AVE,LOS ANGELES,CA,90063,14,Mr. Cooper LLC,Paula Acosta,800-468-1743,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.19865,34.03315,POINT (-118.19865 34.03315),24028,518,956,,9,38
2027035009,01/01/2019,Single Family,23768 W POSEY LANE,LOS ANGELES,CA,93063,12,Deutsche Bank National Trust Company c/o Select Portfolio Servicing,N/A N/A,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.64645,34.20882,POINT (-118.64645 34.20882),4279,282,1548,,2,44
6029008030,02/01/2019,Multi-Family,612 E 80TH ST,LOS ANGELES,CA,90001,9,RoundPoint Mortgage Servicing Corporation,Elizabeth Harting,704-426-8874,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.26455,33.96632,POINT (-118.26455 33.96632),22350,796,999,7,13,46
6117009002,11/05/2019,Multi-Family,858 W ATHENS BLVD,LOS ANGELES,CA,90044,15,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.29078,33.92323,POINT (-118.29078 33.923230000000004),23675,938,803,7,15,53
5106022004,01/07/2019,Multi-Family,1608 1/2 E 49TH ST,LOS ANGELES,CA,90011,9,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Elizabeth Acosta,Elizabeth Acosta,11030   Arrow Route  102 RANCHO CUCAMONGA CA 91730,929-481-1100,-118.24528,33.99828,POINT (-118.24527999999998 33.99828),22727,720,982,7,13,51
4416019032,01/10/2019,Single Family,550 N PASEO MIRAMAR,LOS ANGELES,CA,90272,11,JP Morgan Chase NA,Amy Lott,888-310-1506,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.55703,34.04693,POINT (-118.55703 34.04693),25066,836,1389,,10,
4366015033,03/01/2019,Single Family,375 S GLENROY AVE,LOS ANGELES,CA,90049,5,Fay Servicing LLC - Eric Moore,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.46166,34.06839,POINT (-118.46166000000001 34.06839),23680,853,763,9,6,72
2779014011,03/22/2019,Single Family,21341 W COMMUNITY ST,LOS ANGELES,CA,91304,3,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.59651,34.22226,POINT (-118.59651 34.22226),4279,94,1457,,4,37
4371019022,08/05/2019,Vacant Residential,10438  UNKNOWN ST (HH),LOS ANGELES,CA,90077,5,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,-118.44101,34.09289,POINT (-118.44101 34.09289),24037,828,770,,6,81
5420009006,12/20/2019,Single Family,2027 N LEMOYNE ST,LOS ANGELES,CA,90026,13,"Trustee Corps, Bayview Loan Servicing",Madeline DeFranco,305-631-3760,BRON Inc.,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,877-338-3791,-118.25324,34.08957,POINT (-118.25324 34.08957),23444,480,1427,,8,31
2651007125,12/09/2019,Single Family,9155 N CEDROS AVE,LOS ANGELES,CA,91402,6,REGINALD V & JERESA J LIDDELL C/O BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.45375,34.23712,POINT (-118.45375 34.23712),19730,133,407,,3,59
5672005012,10/29/2019,Vacant Residential,312 S MOUNT CARMEL DR,LOS ANGELES,CA,90041,14,"Netline Realty and Mortgage, Inc",Farzad Talab,818-692-1030,RAMIN TALAB,RAMIN TALAB,760   Cavanagh RD  Glendale CA 91207,818-694-9955,-118.22385,34.14846,POINT (-118.22385000000001 34.14846),23672,354,568,,9,60
6035014007,12/04/2019,Single Family,2032 W 82ND ST,LOS ANGELES,CA,90047,8,GREGORY FUNDING,DALEANA BAUTSITA,503-505-5645,Cargile Company Realtors In,Paul Cargile,5901  W Century BLVD 640 Los Angeles CA 90045,310-275-0788,-118.31448,33.96447,POINT (-118.31448 33.96447),23678,780,1073,7,14,20
5113034008,01/04/2019,Multi-Family,4204 1/2 S WALL ST,LOS ANGELES,CA,90011,9,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Los Angeles REO Brokers,Orit Gadish,269  S Beverly DR 453 Beverly Hills CA 90212,323-606-1919,-118.27149,34.00723,POINT (-118.27149000000001 34.00723),22727,715,978,7,13,
2277009019,10/29/2019,Single Family,15047 W RAYNETA DR,LOS ANGELES,CA,91403,4,Mr. Cooper LLC,Paula Acosta,800-468-1743,"Solid Foundation Properties, LLC",Ruth Wagner,3937   arlington AVE  LOS ANGELES CA 90008,844-488-7662,-118.46235,34.14455,POINT (-118.46235000000001 34.14455),19732,340,685,,7,83
4325001080,09/13/2019,Single Family,10724 W WILSHIRE BLVD 1-157,LOS ANGELES,CA,90024,5,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.43646,34.06049,POINT (-118.43646000000001 34.06049),23442,857,726,9,6,72
4229019130,02/26/2019,Single Family,13700 W MARINA POINTE DR,LOS ANGELES,CA,90292,11,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.44503,33.98482,POINT (-118.44503 33.98482),25074,914,949,10,10,30
2244008001,10/09/2019,Single Family,5860 N NATICK AVE,VAN NUYS,CA,91411,4,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.45393,34.17741,POINT (-118.45393 34.17741000000001),19735,241,1337,,7,18
2656001004,01/09/2019,Single Family,15518 W LASSEN ST,LOS ANGELES,CA,91345,7,CitiMortgage,Erin Theobald,877-290-3997,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,-118.4705,34.24991,POINT (-118.4705 34.24991),18914,116,639,,1,73
6074023067,02/01/2019,Multi-Family,216 W 112TH ST,LOS ANGELES,CA,90061,8,RoundPoint Mortgage Servicing Corporation,Elizabeth Harting,704-426-8874,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.27667,33.93281,POINT (-118.27667000000001 33.93281),24355,812,704,7,14,
5405021051,06/06/2019,Single Family,842 N EAST KENSINGTON ROAD,LOS ANGELES,CA,90026,1,"5AIF NUTMEG, LLC",Patricia McLoon,949-387-2422,5Arch Funding Corp.,Patricia McLoon,19800   MacArthur BLVD 1150 Irvine CA 92612,949-387-2422,-118.25242,34.07206,POINT (-118.25242 34.07206),23444,483,1010,,11,31
5538018005,03/10/2019,Multi-Family,923 1/2 N HELIOTROPE DR,LOS ANGELES,CA,90029,13,Freedom Mortgage,PROPERTY PRESERVATION DEPT,317-537-3748,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.29513,34.08868,POINT (-118.29513 34.08868),23447,437,730,16,8,58
2307010014,03/01/2019,Single Family,12167 W KESWICK ST,LOS ANGELES,CA,91605,2,"HSBC BANK USA, N.A.",SEE TDUS,310-777-6375,"The Harvey Group, Inc.",Joyce Essex Harvey,301  N Canon DR E Beverly HIlls CA 90210,310-777-6375,-118.39909,34.2105,POINT (-118.39909 34.2105),8888,153,472,,5,14
2378025027,01/10/2019,Single Family,3779 N BERRY DR,LOS ANGELES,CA,91604,2,"Kodiak Capital Management, LLC",Andrey Kalashnikov,323-527-5137,NULL,NULL,,NULL,-118.37958,34.13759,POINT (-118.37958 34.13759),8492,351,712,,5,84
2355016028,03/11/2019,Single Family,11826 W KLING ST,LOS ANGELES,CA,91607,2,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.39092,34.15569,POINT (-118.39092 34.15569),8890,344,1336,17,5,39
5558021013,01/31/2019,Single Family,8613 W FRANKLIN AVE,LOS ANGELES,CA,90069,4,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.37794,34.10049,POINT (-118.37793999999998 34.10049),24034,458,727,,7,81
2242017114,11/08/2019,Single Family,15050  VICTORY,LOS ANGELES,CA,91411,6,"Trinity Financial Services, LLC",Don Madden III,949-313-6161,"Trinity Financial Services, LLC",Don Madden III,2618   San Miguel DR 303 Newport Beach CA 92660,855-818-6806,-118.46028,34.18643,POINT (-118.46028 34.18643),19735,239,557,,3,18
2532010067,07/26/2019,Single Family,12345 W STONEGATE RD,LOS ANGELES,CA,91331,7,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.40066,34.28041,POINT (-118.40066 34.28041),18912,17,248,,1,9
2779005063,05/22/2019,Single Family,8550 N INDEPENDENCE AVE,LOS ANGELES,CA,91304,3,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,-118.59055,34.22624,POINT (-118.59055 34.226240000000004),4279,103,1541,,4,37
2171007016,01/15/2019,Single Family,21635 W ARCOS DR,LOS ANGELES,CA,91364,3,Bayview Loan Servicing Jefferson,Eric Moore,877-338-3791,M&M Mortgage Services Bayview,Ingrid Lopez,12901  SW 132nd AVE  miami FL 33186,786-871-0849,-118.60096,34.15487,POINT (-118.60096 34.15487),19346,314,653,11,4,49
